lineage,step,loss,grad_norm,value_precision
pure_v5,20650,2.5099,0.0865,printed_4_decimal
pure_v5,21690,2.4870,0.0601,printed_4_decimal
pure_v5,23480,2.4806,0.0637,printed_4_decimal
pure_v5,23490,2.4930,0.0725,printed_4_decimal
pure_v5,23500,2.4455,0.0493,printed_4_decimal
pure_v5,23510,2.4395,0.0515,printed_4_decimal
pure_v5,23660,2.4579,0.0518,printed_4_decimal
pure_v5,24070,2.4805,0.0689,printed_4_decimal
pure_v5,24400,2.4895,0.0629,printed_4_decimal
pure_v5,24700,2.4872,0.1022,printed_4_decimal
pure_v5,33010,2.4610,0.0810,printed_4_decimal
pure_v5,33020,2.4817,0.0492,printed_4_decimal
pure_v5,33030,2.4696,0.0621,printed_4_decimal
pure_v5,33040,2.4406,0.0599,printed_4_decimal
pure_v5,33050,2.4255,0.0695,printed_4_decimal
pure_v5,33060,2.4442,0.0543,printed_4_decimal
pure_v5,33070,2.4439,0.0625,printed_4_decimal
pure_v5,33080,2.4667,0.0830,printed_4_decimal
pure_v5,33090,2.4408,0.0609,printed_4_decimal
pure_v5,33100,2.4384,0.0549,printed_4_decimal
pure_v5,33990,2.4719,0.0809,printed_4_decimal
pure_v5,34000,2.4142,0.0644,printed_4_decimal
pure_v5,34010,2.4265,0.0560,printed_4_decimal
pure_v5,34020,2.4584,0.0667,printed_4_decimal
pure_v5,34030,2.4610,0.0578,printed_4_decimal
pure_v5,34040,2.4735,0.0629,printed_4_decimal
pure_v5,34990,2.4298,0.0575,printed_4_decimal
pure_v5,35000,2.3946,0.0513,printed_4_decimal
pure_v5,35020,2.4300,0.0558,printed_4_decimal
pure_v5,35030,2.4327,0.0483,printed_4_decimal
pure_v5,35040,2.4210,0.0605,printed_4_decimal
pure_v5,35500,2.4569,0.0723,printed_4_decimal
pure_v5,35990,2.4391,0.0634,printed_4_decimal
pure_v5,36000,2.4519,0.0683,printed_4_decimal
pure_v5,36010,2.4215,0.0581,printed_4_decimal
pure_v5,36020,2.4535,0.0999,printed_4_decimal
pure_v5,36030,2.4411,0.0788,printed_4_decimal
pure_v5,36040,2.4418,0.0688,printed_4_decimal
pure_v5,36200,2.4527,0.0708,printed_4_decimal
pure_v5,36270,2.4675,0.0464,printed_4_decimal
pure_v5,36280,2.4652,0.0686,printed_4_decimal
pure_v5,36410,2.4231,0.0625,printed_4_decimal
pure_v5,36420,2.4388,0.0826,printed_4_decimal
pure_v5,36430,2.4483,0.0763,printed_4_decimal
pure_v5,36440,2.4302,0.0637,printed_4_decimal
pure_v5,36450,2.4248,0.0631,printed_4_decimal
pure_v5,36580,2.4415,0.0782,printed_4_decimal
pure_v5,36590,2.4003,0.0552,printed_4_decimal
pure_v5,36600,2.4340,0.0594,printed_4_decimal
pure_v5,36720,2.4525,0.0618,printed_4_decimal
pure_v5,36730,2.4300,0.0569,printed_4_decimal
pure_v5,36860,2.4452,0.0730,printed_4_decimal
pure_v5,36870,2.4277,0.0662,printed_4_decimal
pure_v5,36880,2.4596,0.0752,printed_4_decimal
pure_v5,36890,2.4501,0.0523,printed_4_decimal
pure_v5,36900,2.4507,0.0604,printed_4_decimal
pure_v5,36910,2.4345,0.0663,printed_4_decimal
pure_v5,36920,2.4686,0.0668,printed_4_decimal
pure_v5,36930,2.4653,0.0486,printed_4_decimal
pure_v5,36940,2.4226,0.0551,printed_4_decimal
pure_v5,36950,2.4555,0.0472,printed_4_decimal
pure_v5,36960,2.4278,0.0464,printed_4_decimal
pure_v5,36970,2.4302,0.0690,printed_4_decimal
pure_v5,36980,2.4188,0.0571,printed_4_decimal
pure_v5,36990,2.4646,0.0649,printed_4_decimal
pure_v5,37000,2.4457,0.0531,printed_4_decimal
pure_v5,37010,2.4546,0.0654,printed_4_decimal
pure_v5,37020,2.4326,0.0611,printed_4_decimal
pure_v5,37030,2.4352,0.0615,printed_4_decimal
pure_v5,37040,2.4466,0.0560,printed_4_decimal
pure_v5,37050,2.4781,0.0681,printed_4_decimal
pure_v5,37060,2.4361,0.0721,printed_4_decimal
pure_v5,37070,2.4506,0.0809,printed_4_decimal
pure_v5,38140,2.4282,0.0589,printed_4_decimal
