lineage,display_name,step,loss,global_max_loss,grad_norm,tps_per_gpu,total_tps,mfu,n_tokens_seen,lr,value_precision,is_interpolated
te_f0l4_seed42,TE F0L4,1,12.264216423034668,12.277122497558594,3.506122350692749,3903.7621929075617,126127.578125,10.048188445365971,4718592.0,1.5e-07,exported_float_payload,False
te_f0l4_seed42,TE F0L4,10,11.558576583862305,12.011163711547852,3.6498873233795166,19308.217933429274,616318.75,49.69888091333491,42467328.0,1.4999999999999998e-06,exported_float_payload,False
te_f0l4_seed42,TE F0L4,20,10.247546195983887,11.523426055908203,10.34643268585205,19395.356166657155,620644,49.92317259530795,84410368.0,2.9999999999999997e-06,exported_float_payload,False
te_f0l4_seed42,TE F0L4,30,9.392602920532227,10.923824310302734,3.591834545135498,19396.225916147734,620672.3125,49.92541130923307,126353408.0,4.499999999999999e-06,exported_float_payload,False
te_f0l4_seed42,TE F0L4,40,8.912755966186523,10.345279693603516,1.9372981786727905,19425.018935805118,621591.9375,49.999523837899424,168296448.0,5.999999999999999e-06,exported_float_payload,False
te_f0l4_seed42,TE F0L4,50,8.460539817810059,9.866687774658203,1.4262038469314575,19404.375222262057,620933.3125,49.946387423937104,210239488.0,7.499999999999999e-06,exported_float_payload,False
te_f0l4_seed42,TE F0L4,60,8.10085678100586,9.9160795211792,1.2303292751312256,19416.03287919854,621303.75,49.976393947885214,252182528.0,8.999999999999999e-06,exported_float_payload,False
te_f0l4_seed42,TE F0L4,70,7.684398174285889,8.837907791137695,1.078844428062439,19440.314065707928,622082.5,50.038893128333925,294125568.0,1.05e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,80,7.38731575012207,8.414482116699219,0.95705646276474,19423.52217231849,621545.8125,49.99567120527772,336068608.0,1.1999999999999999e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,90,7.216956615447998,8.424759864807129,2.2614970207214355,19425.146742297333,621597.25,49.99985280868578,378011648.0,1.3499999999999998e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,100,7.05340576171875,7.885807514190674,1.6073895692825317,19405.483800050904,620968.375,49.94924087606308,419954688.0,1.4999999999999999e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,110,6.956327438354492,7.834775447845459,2.4308383464813232,19420.005217111786,621433.375,49.986618648558185,461897728.0,1.6499999999999998e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,120,6.826969146728516,7.635959625244141,2.3077025413513184,19406.904561146657,621013.1875,49.95289788038878,503840768.0,1.7999999999999997e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,130,6.714847564697266,7.491008758544922,1.7306641340255737,19406.403223956615,620996.875,49.951607450718306,545783808.0,1.95e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,140,6.637947082519531,7.687874794006348,2.041851043701172,19378.109388189918,620092.5,49.878779809182525,587726848.0,2.1e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,150,6.560074806213379,7.199274063110352,1.3741841316223145,19359.25064746245,619489.0625,49.83023787160852,629669888.0,2.2499999999999998e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,160,6.43523645401001,7.280282974243164,1.8437588214874268,19384.736818647598,620304.4375,49.89583865315317,671612928.0,2.3999999999999997e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,170,6.376981735229492,6.9418816566467285,1.3059476613998413,19370.829572973395,619859.125,49.86004174279212,713555968.0,2.55e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,180,6.254452705383301,7.194414138793945,0.9316450953483582,19379.27970437548,620129.75,49.88179217443227,755499008.0,2.6999999999999996e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,190,6.190461158752441,7.228460311889648,1.332856297492981,19368.224948200543,619776.3125,49.85333750230466,797442048.0,2.8499999999999998e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,200,5.969335079193115,7.004664421081543,1.3580734729766846,16451.9368019187,526457.0625,42.3468831111878,839385088.0,2.9999999999999997e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,210,5.923478603363037,6.535816192626953,3.4418535232543945,18975.977634541778,607224.625,48.84370250660933,881328128.0,3.149999999999999e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,220,5.898293495178223,6.880692958831787,1.1473429203033447,19342.443035351203,618951.25,49.786975488946666,923271168.0,3.2999999999999996e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,230,5.796677589416504,6.657126426696777,1.2007571458816528,19369.28375230949,619810,49.85606283819545,965214208.0,3.45e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,240,5.914770126342773,6.466254234313965,1.4892364740371704,19352.931094436433,619287,49.813971496619985,1007157248.0,3.5999999999999994e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,250,5.8868207931518555,6.932930946350098,1.2020941972732544,19342.064950862827,618938.6875,49.786002308717,1049100288.0,3.75e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,260,5.648499011993408,6.099808216094971,0.8814089894294739,17450.80596375527,558419.9375,44.91794791340186,1091043328.0,3.9e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,270,5.58854866027832,6.526865005493164,0.7470396161079407,19360.809220648185,619538.5625,49.834249600884604,1132986368.0,4.05e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,280,5.694761276245117,6.4204912185668945,0.9689090847969055,18510.563259339746,592331.8125,47.64573728328994,1174929408.0,4.2e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,290,5.6407790184021,5.957439422607422,0.9526904821395874,19369.089170645984,619803.8125,49.85556198975072,1216872448.0,4.3499999999999993e-05,exported_float_payload,False
te_f0l4_seed42,TE F0L4,300,5.482290744781494,6.016780376434326,0.6664454936981201,19119.0290397736,611802.3125,49.21191332635528,1258815488.0,4.4999999999999996e-05,exported_float_payload,False
